"NT_RKO.rank"	"NT_COL.rank"	"AraC.rank"	"HU.rank"	"Aph.rank"
"A1BG"	408	771	499	371	41
"A1CF"	1157	678	435	955	1063
"A2M"	660	1451	1473	888	1470
"A2ML1"	538	895	714	1293	324
"A3GALT2"	1176	265	924	382	1363
"A4GALT"	439	459	427	281	368
"A4GNT"	350	134	146	565	1135
"AAAS"	1144	586	1319	891	884
"AACS"	20	11	2	938	111
"AADAC"	286	753	280	551	784
"AADACL2"	346	1418	1115	1050	293
"AADACL3"	972	406	1497	1215	1230
"AADACL4"	1299	665	1389	1028	417
"AADAT"	1029	1105	377	493	264
"AAED1"	627	546	851	589	733
"AAGAB"	467	1080	786	557	282
"AAK1"	1189	1398	94	730	353
"AAMDC"	1028	972	732	1443	1098
"AAMP"	997	628	47	1368	1324
"AANAT"	357	1200	1041	118	771
"AAR2"	1487	918	923	381	319
"AARD"	1086	567	636	1278	163
"AARS"	479	747	100	519	27
"AARS2"	628	1363	779	909	462
"AARSD1"	753	943	872	665	329
"AASDH"	159	1430	134	141	538
"AASDHPPT"	620	1098	274	958	361
"AASS"	353	1086	487	460	273
"AATF"	1328	1269	938	1480	1382
"AATK"	297	916	188	452	996
"ABAT"	1482	405	638	1241	933
"ABCA1"	1386	446	70	473	1442
"ABCA10"	908	1222	1024	783	1465
"ABCA12"	648	80	649	1070	1103
"ABCA13"	925	1390	34	465	1484
"ABCA2"	67	127	108	664	636
"ABCA3"	37	479	86	25	247
"ABCA4"	1225	980	1474	387	709
"ABCA5"	1008	595	1470	140	1496
"ABCA6"	516	768	497	385	885
"ABCA7"	1282	1136	771	1176	326
"ABCA8"	993	956	1445	303	501
"ABCA9"	231	361	1054	802	1056
"ABCB1"	1385	627	61	176	145
"ABCB10"	69	74	67	520	499
"ABCB11"	672	205	538	661	346
"ABCB4"	1366	451	195	479	330
"ABCB5"	897	683	116	76	52
"ABCB6"	837	824	821	644	242
"ABCB7"	226	1356	876	527	1284
"ABCB8"	1476	485	403	170	234
"ABCB9"	379	302	630	1336	829
"ABCC1"	381	1466	818	894	770
"ABCC10"	582	1115	1187	584	843
"ABCC11"	1356	1129	623	843	1238
"ABCC12"	374	208	813	1134	1075
"ABCC2"	470	594	369	522	549
"ABCC3"	742	135	887	40	25
"ABCC4"	902	1055	405	801	1003
"ABCC5"	1015	1078	739	1077	802
"ABCC6"	189	1150	349	492	1352
"ABCC8"	116	703	592	42	1414
"ABCC9"	30	25	215	1384	1154
"ABCD1"	564	272	896	340	967
"ABCD2"	1030	535	1158	1143	49
"ABCD3"	530	853	345	1138	1359
"ABCD4"	512	247	328	918	168
"ABCE1"	1338	543	858	637	719
"ABCF1"	1247	84	1323	1249	286
"ABCF2"	170	1351	33	1303	941
"ABCF3"	642	934	1023	967	89
"ABCG1"	1280	526	1478	542	1089
"ABCG2"	1448	1362	1396	1220	1315
"ABCG4"	438	889	237	246	1329
"ABCG5"	293	630	572	721	806
"ABCG8"	324	436	1132	581	1461
"ABHD1"	83	45	130	162	1200
"ABHD10"	1082	1128	248	108	1317
"ABHD11"	693	1180	336	1216	1450
"ABHD12"	807	624	506	1079	1270
"ABHD12B"	1134	1184	1107	1331	979
"ABHD13"	315	371	80	98	825
"ABHD14A"	531	95	1160	1099	708
"ABHD14B"	1425	264	431	413	694
"ABHD15"	1233	490	681	687	1356
"ABHD16A"	145	1446	132	485	640
"ABHD16B"	240	929	149	47	840
"ABHD17A"	1103	430	820	1062	283
"ABHD17B"	764	621	1184	890	1110
"ABHD17C"	225	255	942	221	172
"ABHD2"	1361	568	755	1447	1148
"ABHD3"	508	1427	42	106	1174
"ABHD4"	186	358	926	618	690
"ABHD5"	553	1499	680	123	1266
"ABHD6"	613	317	492	1027	428
"ABHD8"	1441	806	1350	1016	269
"ABI1"	1226	56	342	1493	498
"ABI2"	797	1491	982	392	899
"ABI3"	181	593	1139	799	610
"ABI3BP"	1033	591	1015	1498	1032
"ABL1"	1314	207	648	1291	1142
"ABL2"	1023	766	886	1442	398
"ABLIM1"	926	702	728	1158	675
"ABLIM2"	1378	599	375	1183	16
"ABLIM3"	1449	1235	1232	1048	1269
"ABR"	1149	305	1367	231	785
"ABRA"	275	578	260	822	1115
"ABRACL"	25	88	1108	1473	252
"ABT1"	110	101	199	708	1393
"ABTB1"	811	1352	564	764	963
"ABTB2"	768	914	653	405	937
"AC007040.11"	1062	718	337	1211	858
"AC007431.1"	1418	1262	1281	33	458
"AC009892.10"	375	1391	907	790	356
"AC016722.1"	967	1488	631	197	637
"AC016757.3"	157	20	906	1094	193
"AC018755.1"	1142	85	584	784	1211
"AC079612.1"	1287	1433	1061	1326	1482
"AC091801.1"	42	105	371	1348	1380
"AC093802.1"	1163	1264	300	954	561
"AC106876.2"	456	34	28	746	238
"ACAA1"	629	596	485	430	253
"ACAA2"	1138	681	914	605	741
"ACACA"	567	923	56	463	852
"ACACB"	884	23	279	49	67
"ACAD10"	771	921	1290	1198	278
"ACAD11"	1354	484	527	213	839
"ACAD8"	776	746	1212	459	683
"ACAD9"	184	708	915	388	739
"ACADL"	1188	102	581	1294	426
"ACADM"	859	530	286	136	504
"ACADS"	322	168	266	1109	1138
"ACADSB"	1162	1348	910	194	788
"ACADVL"	197	880	789	796	164
"ACAN"	501	369	1222	962	476
"ACAP1"	1097	147	221	225	63
"ACAP2"	1022	826	1348	1123	1492
"ACAP3"	576	900	268	562	1208
"ACAT1"	600	395	66	908	125
"ACAT2"	320	1271	536	1485	327
"ACBD3"	721	919	520	411	989
"ACBD4"	841	1486	981	1060	958
"ACBD5"	1070	1201	1316	29	568
"ACBD6"	591	672	600	941	579
"ACBD7"	683	209	45	1394	1197
"ACCS"	57	658	165	614	237
"ACCSL"	210	1198	1059	698	1121
"ACD"	436	235	709	241	572
"ACE"	820	520	929	1419	195
"ACE2"	250	1043	501	55	437
"ACER1"	270	906	594	1097	976
"ACER2"	1393	685	257	441	517
"ACER3"	963	53	106	145	103
"ACHE"	1430	580	1308	350	243
"ACIN1"	208	462	410	278	803
"ACKR2"	729	1170	409	631	1279
"ACKR3"	1177	407	591	704	833
"ACKR4"	1231	587	859	1088	1280
"ACLY"	1173	692	114	24	97
"ACMSD"	914	1268	720	697	608
"ACN9"	733	408	1255	1284	420
"ACO1"	1422	663	200	151	213
"ACO2"	44	609	416	318	486
"ACOT11"	214	182	190	274	348
"ACOT12"	592	42	36	39	71
"ACOT13"	227	1305	332	667	258
"ACOT2"	947	833	1321	781	1422
"ACOT4"	767	629	980	1161	136
"ACOT6"	1222	221	988	641	881
"ACOT7"	1053	89	208	1108	146
"ACOT8"	589	33	112	809	1107
"ACOT9"	239	1343	291	511	300
"ACOX1"	1057	169	238	1032	1294
"ACOX2"	664	1483	1185	34	1044
"ACOX3"	449	745	530	686	582
"ACOXL"	34	1159	21	1186	128
"ACP1"	163	267	366	871	702
"ACP2"	1169	1361	446	1026	1304
"ACP5"	570	527	357	1022	1069
"ACP6"	1485	108	1098	1479	557
"ACPL2"	650	316	1159	263	141
"ACPP"	942	572	1141	875	1440
"ACPT"	1072	699	931	883	58
"ACR"	316	1213	518	706	951
"ACRBP"	380	61	1495	428	1493
"ACRC"	1100	777	317	1244	337
"ACRV1"	763	969	1146	966	1389
"ACSBG1"	103	1437	1014	1298	742
"ACSBG2"	1221	1181	651	939	194
"ACSF2"	3	993	4	2	53
"ACSF3"	183	1172	450	462	339
"ACSL1"	1204	638	1033	1477	1253
"ACSL3"	195	1313	58	1019	289
"ACSL4"	459	1473	568	501	837
"ACSL5"	156	1032	217	526	413
"ACSL6"	679	795	775	973	298
"ACSM1"	1440	816	516	219	169
"ACSM2A"	632	867	1169	688	1241
"ACSM2B"	90	973	838	449	824
"ACSM3"	76	901	522	553	531
"ACSM4"	98	44	460	144	85
"ACSM5"	80	1142	590	284	1265
"ACSS1"	826	1420	71	596	548
"ACSS2"	1480	1355	925	819	1489
"ACSS3"	809	327	766	389	876
"ACTA1"	358	554	138	1416	505
"ACTA2"	107	950	777	1093	1322
"ACTB"	480	473	580	1449	115
"ACTBL2"	878	1044	370	816	753
"ACTC1"	280	1374	1202	552	1055
"ACTG1"	154	179	322	1404	1215
"ACTG2"	1336	476	801	498	1360
"ACTL10"	1239	937	950	233	907
"ACTL6A"	51	1429	852	1285	279
"ACTL6B"	870	852	192	1292	153
"ACTL7A"	697	566	1079	180	443
"ACTL7B"	1179	809	1196	436	772
"ACTL8"	1286	151	1340	1044	1040
"ACTL9"	481	749	1231	421	1371
"ACTN1"	1191	227	1093	1105	799
"ACTN2"	617	400	1038	177	1311
"ACTN4"	77	560	548	757	24
"ACTR10"	590	196	275	60	484
"ACTR1A"	791	716	737	968	1453
"ACTR1B"	410	1076	1066	960	1318
"ACTR2"	1457	690	810	198	208
"ACTR3"	492	759	611	702	226
"ACTR3B"	416	1255	707	1042	452
"ACTR3C"	142	150	15	6	37
"ACTR5"	851	1279	990	1401	609
"ACTR6"	1040	764	853	762	434
"ACTR8"	289	1015	686	287	638
"ACTRT1"	431	349	462	1166	936
"ACTRT2"	294	564	127	1055	487
"ACTRT3"	1274	540	76	160	1127
"ACVR1"	1281	1040	122	90	369
"ACVR1B"	788	1465	683	620	965
"ACVR1C"	179	1367	1458	1290	1388
"ACVR2A"	314	516	1124	347	1345
"ACVR2B"	326	1294	679	1236	532
"ACVRL1"	622	670	404	1315	1071
"ACY1"	1469	1314	315	232	625
"ACY3"	640	671	854	1091	1281
"ACYP1"	162	386	940	208	299
"ACYP2"	1431	555	1325	1440	727
"ADA"	1407	721	1194	983	181
"ADAD1"	385	287	935	1080	1392
"ADAD2"	555	996	619	1337	912
"ADAL"	709	440	1443	1305	1301
"ADAM10"	919	590	1055	1451	1082
"ADAM11"	1155	651	1012	264	418
"ADAM12"	1383	966	1373	914	584
"ADAM15"	242	589	1218	759	630
"ADAM17"	344	970	177	22	978
"ADAM18"	875	1063	966	155	292
"ADAM19"	263	1477	560	1445	514
"ADAM2"	1235	776	1114	152	1097
"ADAM20"	973	1281	236	238	845
"ADAM21"	494	866	495	1302	190
"ADAM22"	440	1232	1269	1450	266
"ADAM23"	674	191	1097	1355	981
"ADAM28"	75	1464	1046	1287	789
"ADAM29"	1139	345	627	965	850
"ADAM30"	982	1485	848	981	444
"ADAM32"	825	239	1226	608	686
"ADAM33"	1009	226	463	412	956
"ADAM7"	452	1277	677	832	1446
